"Date","Status","Home","Score","","Away","Attd"
"1/2/2020","FT","AFC Bournemouth","2","1","Aston Villa","10,722"
"","","Billing (36'), Ake (43')","","","Samatta (71')",""
"1/2/2020","FT","Crystal Palace","0","1","Sheffield United","25,170"
"","","","","","Guaita (58' og)",""
"1/2/2020","FT","Leicester City","2","2","Chelsea","32,186"
"","","Barnes (54'), Chilwell (64')","","","Rudiger (46', 71')",""
"1/2/2020","FT","Liverpool","4","0","Southampton","53,291"
"","","Oxlade-Chamberlain (47'), Henderson (61'), Salah (71', 90')","","","",""
"1/2/2020","FT","Manchester United","0","0","Wolverhampton Wanderers","73,363"
"1/2/2020","FT","Newcastle United","0","0","Norwich City","52,204"
"1/2/2020","FT","Watford","2","3","Everton","21,229"
"","","Masina (9'), Pereyra (40')","","","Mina (45', 45'), Walcott (90')",""
"1/2/2020","FT","West Ham United","3","3","Brighton & Hove Albion","59,952"
"","","Diop (29'), Snodgrass (43', 56')","","","Ogbonna (48' og), Gro (75'), Murray (80')",""
"2/2/2020","FT","Burnley","0","0","Arsenal","21,048"
"2/2/2020","FT","Tottenham Hotspur","2","0","Manchester City","61,022"
"","","Lucas (63'), Son (71')","","","",""
"8/2/2020","FT","Brighton & Hove Albion","1","1","Watford","30,443"
"","","Mariappa (79' og)","","","Doucoure (20')",""
"8/2/2020","FT","Everton","3","1","Crystal Palace","38,987"
"","","Bernard (18'), Richarlison (59'), Calvert-Lewin (86')","","","Benteke (51')",""
"9/2/2020","FT","Sheffield United","2","1","AFC Bournemouth","30,361"
"","","Sharp (45'), Lundstram (84')","","","Wilson (14')",""
"14/2/2020","FT","Wolverhampton Wanderers","0","0","Leicester City","31,682"
"15/2/2020","FT","Norwich City","0","1","Liverpool","27,110"
"","","","","","Mane (78')",""
"15/2/2020","FT","Southampton","1","2","Burnley","26,302"
"","","Ings (18')","","","Westwood (2'), Vydra (60')",""
"16/2/2020","FT","Arsenal","4","0","Newcastle United","60,188"
"","","Aubameyang (54'), Pepe (57'), Ozil (89'), Lacazette (90')","","","",""
"16/2/2020","FT","Aston Villa","2","3","Tottenham Hotspur","41,874"
"","","Alderweireld (8' og), Engels (53')","","","Alderweireld (25'), Son (44', 90')",""
"17/2/2020","FT","Chelsea","0","2","Manchester United","40,504"
"","","","","","Martial (43'), Maguire (65')",""
"19/2/2020","FT","Manchester City","2","0","West Ham United",""
"","","Rodri (30'), De Bruyne (62')","","","",""
"22/2/2020","FT","Burnley","3","0","AFC Bournemouth","18,227"
"","","Vydra (54'), Rodriguez (61' pen), McNeil (87')","","","Wilson (58')",""
"22/2/2020","FT","Chelsea","2","1","Tottenham Hotspur","40,608"
"","","Giroud (15'), Alonso (49')","","","Lamela (89')",""
"22/2/2020","FT","Crystal Palace","1","0","Newcastle United","25,486"
"","","van Aanholt (45')","","","",""
"22/2/2020","FT","Leicester City","0","1","Manchester City","32,068"
"","","","","","Jesus (80')",""
"22/2/2020","FT","Sheffield United","1","1","Brighton & Hove Albion","31,888"
"","","Stevens (27')","","","Maupay (29')",""
"22/2/2020","FT","Southampton","2","0","Aston Villa","31,478"
"","","Long (9'), Armstrong (90')","","","",""
"23/2/2020","FT","Arsenal","3","2","Everton","60,296"
"","","Nketiah (26'), Aubameyang (32', 46')","","","Calvert-Lewin (2'), Richarlison (45')",""
"23/2/2020","FT","Manchester United","3","0","Watford","73,347"
"","","Fernandes (40'), Martial (59'), Greenwood (72')","","","Deeney (53')",""
"23/2/2020","FT","Wolverhampton Wanderers","3","0","Norwich City","31,046"
"","","Jota (19', 30'), Jimenez (50')","","","",""
"24/2/2020","FT","Liverpool","3","2","West Ham United","53,313"
"","","Wijnaldum (9'), Salah (69'), Mane (81')","","","Diop (12'), Fornals (55')",""
"28/2/2020","FT","Norwich City","1","0","Leicester City","27,010"
"29/2/2020","FT","AFC Bournemouth","2","2","Chelsea","10,667"
"","","Lerma (54'), King (57')","","","Alonso (33', 85')",""
"29/2/2020","FT","Brighton & Hove Albion","0","1","Crystal Palace",""
"","","","","","Ayew (70')",""
"29/2/2020","FT","Newcastle United","0","0","Burnley","52,219"
"29/2/2020","FT","Watford","3","0","Liverpool","21,634"
"","","Sarr (53', 60'), Deeney (72')","","","",""
"29/2/2020","FT","West Ham United","3","1","Southampton","59,962"
"","","Bowen (15'), Haller (38'), Antonio (55')","","","Obafemi (31')",""
