"Date","H/A","Opponent","Competition","KO/Score","Attd","Scorers"
"7/8/2022","H","Brighton & Hove Albion","Premier League","(0)1 - 2(2)","73,711","Mac Allister (og)"
"13/8/2022","A","Brentford","Premier League","(0)0 - 4(4)","17,094",""
"22/8/2022","H","Liverpool","Premier League","(1)2 - 1(0)","","Sancho, Rashford"
"27/8/2022","A","Southampton","Premier League","(0)1 - 0(0)","31,196","Fernandes"
"1/9/2022","A","Leicester City","Premier League","(1)1 - 0(0)","32,226","Sancho"
"4/9/2022","H","Arsenal","Premier League","(1)3 - 1(0)","73,431","Santos, Rashford (2)"
"8/9/2022","H","Real Sociedad","Europa League E","(0)0 - 1(0)","74,310",""
"15/9/2022","A","FC Tiraspol","Europa League E","(2)2 - 0(0)","8,734","Sancho, Ronaldo (pen)"
"2/10/2022","A","Manchester City","Premier League","(0)3 - 6(4)","53,475","Santos, Martial (2, 1 pen)"
"6/10/2022","A","Omonia Nicosia","Europa League E","(0)3 - 2(1)","20,011","Rashford (2), Martial"
"9/10/2022","A","Everton","Premier League","(2)2 - 1(1)","39,258","Santos, Ronaldo"
"13/10/2022","H","Omonia Nicosia","Europa League E","(0)1 - 0(0)","74,310","McTominay"
"16/10/2022","H","Newcastle United","Premier League","(0)0 - 0(0)","73,726",""
"19/10/2022","H","Tottenham Hotspur","Premier League","(0)2 - 0(0)","73,677","Fred, Fernandes"
"22/10/2022","A","Chelsea","Premier League","(0)1 - 1(0)","39,503","Casemiro"
"27/10/2022","H","FC Tiraspol","Europa League E","(1)3 - 0(0)","","Dalot, Rashford, Ronaldo"
"30/10/2022","H","West Ham United","Premier League","(1)1 - 0(0)","73,682","Rashford"
"3/11/2022","A","Real Sociedad","Europa League E","(1)1 - 0(0)","36,744","Garnacho"
"6/11/2022","A","Aston Villa","Premier League","(1)1 - 3(2)","42,058","Shaw"
"10/11/2022","H","Aston Villa","Carabao Cup 3","(0)4 - 2(0)","72,512","Martial, Rashford, Fernandes, McTominay"
"13/11/2022","A","Fulham","Premier League","(1)2 - 1(0)","24,246","Eriksen, Garnacho"
"21/12/2022","H","Burnley","Carabao Cup 4","(1)2 - 0(0)","62,062","Eriksen, Rashford"
"27/12/2022","H","Nottingham Forest","Premier League","(2)3 - 0(0)","73,608","Rashford, Martial, Fred"
"31/12/2022","A","Wolverhampton Wanderers","Premier League","(0)1 - 0(0)","31,658","Rashford"
"3/1/2023","H","AFC Bournemouth","Premier League","(1)3 - 0(0)","73,322","Casemiro, Shaw, Rashford"
"6/1/2023","H","Everton","FA Cup 3","(1)3 - 1(1)","72,306","Santos, Coady (og), Rashford (pen)"
"10/1/2023","H","Charlton Athletic","Carabao Cup QF","(1)3 - 0(0)","74,345","Santos, Rashford (2)"
"14/1/2023","H","Manchester City","Premier League","(0)2 - 1(0)","75,546","Fernandes, Rashford"
"18/1/2023","A","Crystal Palace","Premier League","(1)1 - 1(0)","25,243","Fernandes"
"22/1/2023","A","Arsenal","Premier League","(1)2 - 3(1)","60,325","Rashford, Martinez"
"25/1/2023","A","Nottingham Forest","Carabao Cup SF","(2)3 - 0(0)","29,325","Rashford, Weghorst, Fernandes"
"28/1/2023","H","Reading","FA Cup 4","(0)3 - 1(0)","73,460","Casemiro (2), Fred"
"1/2/2023","H","Nottingham Forest","Carabao Cup SF","(0)2 - 0(0)","72,315","Martial, Fred"
"Aggregate: 5-0","","","","","",""
"4/2/2023","H","Crystal Palace","Premier League","(1)2 - 1(0)","73,420","Fernandes (pen), Rashford"
"8/2/2023","H","Leeds United","Premier League","(0)2 - 2(1)","73,456","Rashford, Sancho"
"12/2/2023","A","Leeds United","Premier League","(0)2 - 0(0)","36,919","Rashford, Garnacho"
"16/2/2023","A","Barcelona","Europa League","(0)2 - 2(0)","90,225","Rashford, Kounde (og)"
"19/2/2023","H","Leicester City","Premier League","(1)3 - 0(0)","73,578","Rashford (2), Sancho"
